Bookmark,Frame#,SSI,Type,Subtype,Seq #,Addresses,Receive Addr,Transmit Addr,Address 3,ToDS,FromDS,Frag,Retry,More,Protected,FCS,Frame Size,Delta,Timestamp,
="",10,,Mgmt,Beacon,1502,,ff:ff:ff:ff:ff:ff  (DA),Google Inc. 70:3a:cb,Google Inc. 70:3a:cb,0,0,0,0,0,0,,337,="",="2/5/2026 6:47:49.093120215 AM",
="",11,,Mgmt,Beacon,2789,,ff:ff:ff:ff:ff:ff  (DA),eero inc. 30:34:22,eero inc. 30:34:22,0,0,0,0,0,0,,313,="",="2/5/2026 6:47:49.097485925 AM",
="",12,,Mgmt,Beacon,2882,,ff:ff:ff:ff:ff:ff  (DA),3e:82:c0:f3:fe:3e  (SA),3e:82:c0:f3:fe:3e  (BSSID),0,0,0,0,0,0,,388,="",="2/5/2026 6:47:49.105028495 AM",
="",14,,Ext,Reserved [6],,,,,,1,0,1,0,1,0,,392,="",="2/5/2026 6:47:49.108575940 AM",
="",15,,Mgmt,Beacon,374,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC d4:b9:2f,Vantiva USA LLC d4:b9:2f,0,0,0,0,0,0,,364,="",="2/5/2026 6:47:49.112525060 AM",
="",16,,Mgmt,Auth,419,,2d:28:e4:de:2f:54  (DA),88:bb:86:48:36:75  (SA),8d:de:df:10:48:c2  (BSSID),1,1,1,0,0,1,,414,="",="2/5/2026 6:47:49.120158440 AM",
="",17,,Ext,Reserved [11],,,,,,1,0,0,0,1,1,,229,="",="2/5/2026 6:47:49.120644825 AM",
="",18,,Mgmt,Action No Ack,2176,,74:93:95:60:bf:85  (DA),1b:0d:64:73:e5:ff  (SA),fb:2c:c3:35:c9:64  (BSSID),1,0,1,0,0,0,,249,="",="2/5/2026 6:47:49.120757715 AM",
="",19,,Control,RTS,,,Tenda Technology Co.Ltd.Dongguan branch 04:95:e6,62:c1:b3:1c:53:51  (SA),,0,0,0,0,0,0,,105,="",="2/5/2026 6:47:49.120901835 AM",
="",20,,Ext,Reserved [5],,,,,,1,0,0,0,1,0,,249,="",="2/5/2026 6:47:49.120986300 AM",
="",21,,Mgmt,Action,1189,,f8:4b:06:82:e0:98  (DA),fd:63:14:79:ad:06  (SA),aa:64:8e:aa:23:75  (BSSID),1,1,0,0,0,0,,249,="",="2/5/2026 6:47:49.121224125 AM",
="",22,,Mgmt,Beacon,3121,,ff:ff:ff:ff:ff:ff  (DA),22:e0:19:59:38:bb  (SA),22:e0:19:59:38:bb  (BSSID),0,0,0,0,0,0,,331,="",="2/5/2026 6:47:49.125523100 AM",
="",23,,Mgmt,Beacon,3913,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC d4:b9:2f,Vantiva USA LLC d4:b9:2f,0,0,0,0,0,0,,340,="",="2/5/2026 6:47:49.129564530 AM",
="",24,,Mgmt,Beacon,1028,,ff:ff:ff:ff:ff:ff  (DA),Commscope a8:70:5d,Commscope a8:70:5d,0,0,0,0,0,0,,364,="",="2/5/2026 6:47:49.132540990 AM",
="",25,,Mgmt,Beacon,1196,,ff:ff:ff:ff:ff:ff  (DA),ae:70:5d:03:a0:0f  (SA),ae:70:5d:03:a0:0f  (BSSID),0,0,0,0,0,0,,323,="",="2/5/2026 6:47:49.135611830 AM",
="",26,,Mgmt,Beacon,1181,,ff:ff:ff:ff:ff:ff  (DA),b6:70:5d:03:a0:0f  (SA),b6:70:5d:03:a0:0f  (BSSID),0,0,0,0,0,0,,323,="",="2/5/2026 6:47:49.138680340 AM",
="",27,,Mgmt,Beacon,2973,,ff:ff:ff:ff:ff:ff  (DA),72:3a:cb:09:fc:a0  (SA),72:3a:cb:09:fc:a0  (BSSID),0,0,0,0,0,0,,312,="",="2/5/2026 6:47:49.142822805 AM",
="",28,,Mgmt,Beacon,2958,,ff:ff:ff:ff:ff:ff  (DA),32:34:db:73:0d:5c  (SA),32:34:db:73:0d:5c  (BSSID),0,0,0,0,0,0,,276,="",="2/5/2026 6:47:49.145022605 AM",
="",29,,Mgmt,Beacon,404,,ff:ff:ff:ff:ff:ff  (DA),c6:4f:d5:f7:5d:99  (SA),c6:4f:d5:f7:5d:99  (BSSID),0,0,0,0,0,0,,459,="",="2/5/2026 6:47:49.149238055 AM",
="",30,,Mgmt,Beacon,405,,ff:ff:ff:ff:ff:ff  (DA),c6:4f:d5:f7:5d:9e  (SA),c6:4f:d5:f7:5d:9e  (BSSID),0,0,0,0,0,0,,388,="",="2/5/2026 6:47:49.149790655 AM",
="",31,,Mgmt,Beacon,2415,,ff:df:45:e9:ff:ff  (DA),64:df:7c:40:48:e3  (SA),64:97:5e:aa:48:cd  (BSSID),0,0,0,0,0,0,,313,="",="2/5/2026 6:47:49.155975280 AM",
="",32,,Data,Data,850,From AP,33:33:00:00:00:fb  (DA),4a:4b:d4:68:c9:2f  (BSSID),Tenda Technology Co.Ltd.Dongguan branch 04:95:e6,0,1,0,0,1,1,,229,="",="2/5/2026 6:47:49.161283670 AM",
="",33,,Data,Data,851,From AP,01:00:5e:00:00:fb  (DA),4a:4b:d4:68:c9:2f  (BSSID),Tenda Technology Co.Ltd.Dongguan branch 04:95:e6,0,1,0,0,0,1,,223,="",="2/5/2026 6:47:49.161551725 AM",
="",38,,Mgmt,Beacon,584,,ff:ff:ff:ff:ff:ff  (DA),62:d4:f7:c2:22:40  (SA),62:d4:f7:c2:22:40  (BSSID),0,0,0,0,0,0,,331,="",="2/5/2026 6:47:49.166558490 AM",
="",42,,Mgmt,Beacon,2062,,ff:ff:ff:ff:ff:ff  (DA),Sercomm Corporation. 74:9d:79,Sercomm Corporation. 74:9d:79,0,0,0,0,0,0,,347,="",="2/5/2026 6:47:49.174346050 AM",
="",44,,Data,CF Ack+CF Poll,1670  (Retransmitted packet),To AP,72:c1:70:13:b4:84  (BSSID),1d:79:14:55:73:63  (SA),be:6f:78:c5:cd:8f  (DA),1,0,0,1,1,0,,113,="",="2/5/2026 6:47:49.183108220 AM",
="",45,,Mgmt,Beacon,1503,,ff:ff:ff:ff:ff:ff  (DA),Google Inc. 70:3a:cb,Google Inc. 70:3a:cb,0,0,0,0,0,0,,337,="",="2/5/2026 6:47:49.195935220 AM",
