Bookmark,Frame#,Source Port,Destination Port,Length,Checksum,Frame Size,Delta,Timestamp,
="",34864, [46839] ( 46839 ),scp-config ( 10001 ),12,0x3d24,153,="",="2/4/2026 4:56:20.688435455 PM",
="",42749, [59762] ( 59762 ),enpc ( 3289 ),22,0x0923,163,="",="2/4/2026 4:56:48.047324695 PM",
="",42765,mdns ( 5353 ),mdns ( 5353 ),47,0x82c0,208,="",="2/4/2026 4:56:48.152883900 PM",
="",42850, [63374] ( 63374 ),enpc ( 3289 ),22,0xfb06,163,="",="2/4/2026 4:56:48.671723785 PM",
="",43330,mdns ( 5353 ),mdns ( 5353 ),81,0x18c3,222,="",="2/4/2026 4:56:50.916921285 PM",
