Bookmark,Frame#,SSI,Type,Subtype,Seq #,Addresses,Receive Addr,Transmit Addr,Address 3,ToDS,FromDS,Frag,Retry,More,Protected,FCS,Frame Size,Delta,Timestamp,
="",23,,Mgmt,Beacon,784,,ff:ff:ff:ff:ff:ff  (DA),5a:2b:50:c8:ee:f3  (SA),5a:2b:50:c8:ee:f3  (BSSID),0,0,0,0,0,0,,340,="",="2/4/2026 4:55:04.668483790 PM",
="",24,,Mgmt,Beacon,3927,,ff:ff:ff:ff:ff:ff  (DA),Ubiquiti Inc 44:d9:e7,Ubiquiti Inc 44:d9:e7,0,0,0,0,0,0,,315,="",="2/4/2026 4:55:04.670754305 PM",
="",25,,Mgmt,Beacon,93,,ff:ff:ff:ff:ff:ff  (DA),4e:2b:50:c8:ee:f3  (SA),4e:2b:50:c8:ee:f3  (BSSID),0,0,0,0,0,0,,340,="",="2/4/2026 4:55:04.675378655 PM",
="",26,,Mgmt,Beacon,2169,,ff:ff:ff:ff:ff:ff  (DA),Sagemcom Broadband SAS d8:cf:61,Sagemcom Broadband SAS d8:cf:61,0,0,0,0,0,0,,443,="",="2/4/2026 4:55:04.676651505 PM",
="",27,,Mgmt,Beacon,784,,ff:ff:ff:ff:ff:ff  (DA),72:a7:41:b3:5f:71  (SA),72:a7:41:b3:5f:71  (BSSID),0,0,0,0,0,0,,342,="",="2/4/2026 4:55:04.690756265 PM",
="",28,,Mgmt,Beacon,3943,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:04.749085555 PM",
="",29,,Mgmt,Beacon,3285,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,365,="",="2/4/2026 4:55:04.759410310 PM",
="",30,,Mgmt,Beacon,2741,,ff:ff:ff:ff:4e:7c  (DA),68:c9:da:17:c4:c0  (SA),HUAWEI TECHNOLOGIES CO.LTD 68:49:83,0,0,0,0,0,0,,427,="",="2/4/2026 4:55:04.761842810 PM",
="",31,,Mgmt,Beacon,1122,,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:17:c4:c0  (SA),6e:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,424,="",="2/4/2026 4:55:04.762284035 PM",
="",32,,Mgmt,Beacon,3112,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:17:c4:c0  (SA),56:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,397,="",="2/4/2026 4:55:04.762723080 PM",
="",36,,Mgmt,Beacon,3959,,ff:ff:ff:ff:ff:ff  (DA),16:93:7c:c2:15:c7  (SA),16:93:7c:c2:15:c7  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:04.773868135 PM",
="",37,,Mgmt,Beacon,2706,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC dc:eb:69,Vantiva USA LLC dc:eb:69,0,0,0,0,0,0,,364,="",="2/4/2026 4:55:04.775964635 PM",
="",38,,Mgmt,Beacon,785,,ff:ff:ff:ff:ff:ff  (DA),Ubiquiti Inc 70:a7:41,Ubiquiti Inc 70:a7:41,0,0,0,0,0,0,,342,="",="2/4/2026 4:55:04.781245470 PM",
="",39,,Mgmt,Beacon,787,,ff:ff:ff:ff:ff:ff  (DA),72:a7:41:a3:5f:71  (SA),72:a7:41:a3:5f:71  (BSSID),0,0,0,0,0,0,,324,="",="2/4/2026 4:55:04.786121875 PM",
="",40,,Mgmt,Beacon,788,,ff:ff:ff:ff:ff:ff  (DA),72:a7:41:b3:5f:71  (SA),72:a7:41:b3:5f:71  (BSSID),0,0,0,0,0,0,,342,="",="2/4/2026 4:55:04.793589240 PM",
="",41,,Mgmt,Beacon,2208,,ff:ff:ff:ff:ff:ff  (DA),NETGEAR e0:46:ee,NETGEAR e0:46:ee,0,0,0,0,0,0,,398,="",="2/4/2026 4:55:04.802215085 PM",
="",42,,Data,Data,761,From AP,ff:ff:ff:ff:ff:ff  (DA),72:a7:41:93:5f:71  (BSSID),Dell Inc. 74:86:e2,0,1,0,0,0,1,,183,="",="2/4/2026 4:55:04.823951155 PM",
="",43,,Mgmt,Beacon,3436,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,369,="",="2/4/2026 4:55:04.858936065 PM",
="",44,,Mgmt,Beacon,3286,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,365,="",="2/4/2026 4:55:04.861400565 PM",
="",51,,Mgmt,Beacon,1804,,ff:ff:ff:ff:ff:ff  (DA),e2:cf:61:1d:9c:76  (SA),e2:cf:61:1d:9c:76  (BSSID),0,0,0,0,0,0,,348,="",="2/4/2026 4:55:04.885609635 PM",
="",52,,Mgmt,Beacon,791,,ff:ff:ff:ff:ff:ff  (DA),72:a7:41:a3:5f:71  (SA),72:a7:41:a3:5f:71  (BSSID),0,0,0,0,0,0,,324,="",="2/4/2026 4:55:04.888524000 PM",
="",53,,Data,Data,1447,From AP,33:33:00:00:00:16  (DA),Commscope 1c:93:7c,Hui Zhou Gaoshengda Technology Co.LTD 1c:30:08,0,1,0,0,0,1,,213,="",="2/4/2026 4:55:04.896023545 PM",
="",54,,Data,Data,1448,From AP,01:00:5e:00:00:16  (DA),Commscope 1c:93:7c,Hui Zhou Gaoshengda Technology Co.LTD 1c:30:08,0,1,0,0,0,1,,177,="",="2/4/2026 4:55:04.897240045 PM",
="",55,,Control,RTS,,,84:8e:49:6d:64:50  (DA),82:86:c0:a5:48:d8  (SA),,0,0,0,0,0,0,,105,="",="2/4/2026 4:55:04.909977345 PM",
="",56,,Mgmt,Beacon,126,,ff:ff:ff:ff:ff:ff  (DA),Computer Performance Inc. DBA Digital Loggers Inc. 7c:e1:ff,Computer Performance Inc. DBA Digital Loggers Inc. 7c:e1:ff,0,0,0,0,0,0,,264,="",="2/4/2026 4:55:04.910184390 PM",
="",57,,Mgmt,Beacon,2209,,ff:ff:ff:ff:ff:ff  (DA),NETGEAR e0:46:ee,NETGEAR e0:46:ee,0,0,0,0,0,0,,398,="",="2/4/2026 4:55:04.911808890 PM",
="",58,,Control,Blk Ack Req,,,92:8e:e8:fc:73:36  (DA),Commscope 10:86:8c,,0,0,0,0,0,0,,109,="",="2/4/2026 4:55:04.943142080 PM",
="",59,,Control,Blk Ack Req,,,92:8e:e8:fc:73:36  (DA),Commscope 10:86:8c,,0,0,0,1,0,0,,109,="",="2/4/2026 4:55:04.943526580 PM",
="",60,,Mgmt,Beacon,3945,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:04.955498920 PM",
="",64,,Mgmt,Beacon,3985,,ff:ff:ff:ff:ff:ff  (DA),0e:93:7c:c2:15:c7  (SA),0e:93:7c:c2:15:c7  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:04.972558970 PM",
="",65,,Mgmt,Beacon,3930,,ff:ff:ff:ff:ff:ff  (DA),Ubiquiti Inc 44:d9:e7,Ubiquiti Inc 44:d9:e7,0,0,0,0,0,0,,315,="",="2/4/2026 4:55:04.977833570 PM",
="",69,,Mgmt,Beacon,973,,ff:ff:ff:ff:ff:ff  (DA),0e:fe:7b:3f:cc:24  (SA),0e:fe:7b:3f:cc:24  (BSSID),0,0,0,0,0,0,,315,="",="2/4/2026 4:55:04.995650310 PM",
="",70,,Mgmt,Beacon,974,,ff:ff:ff:ff:ff:ff  (DA),0e:fe:7b:3f:cc:27  (SA),0e:fe:7b:3f:cc:27  (BSSID),0,0,0,0,0,0,,342,="",="2/4/2026 4:55:04.995987475 PM",
="",71,,Mgmt,Beacon,1242,,ff:ff:ff:ff:ff:ff  (DA),46:d9:e7:7b:b2:e6  (SA),46:d9:e7:7b:b2:e6  (BSSID),0,0,0,0,0,0,,314,="",="2/4/2026 4:55:05.007257380 PM",
="",72,,Mgmt,Beacon,1120,,ff:ff:ff:ff:ff:ff  (DA),da:52:61:ed:5c:44  (SA),da:52:61:ed:5c:44  (BSSID),0,0,0,0,0,0,,333,="",="2/4/2026 4:55:05.009281880 PM",
="",73,,Mgmt,Beacon,2210,,ff:ff:ff:ff:ff:ff  (DA),NETGEAR e0:46:ee,NETGEAR e0:46:ee,0,0,0,0,0,0,,398,="",="2/4/2026 4:55:05.009643045 PM",
="",78,,Mgmt,Beacon,2398,,ff:7c:fd:bf:78:fd  (DA),ef:d7:ff:fe:fc:f9  (SA),f9:3f:bf:ff:dc:f7  (BSSID),0,0,0,0,0,0,,113,="",="2/4/2026 4:55:05.058092570 PM",
="",79,,Mgmt,Beacon,3946,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:05.058509070 PM",
="",80,,Mgmt,Beacon,1450,,ff:ff:ff:ff:ff:ff  (DA),Commscope 1c:93:7c,Commscope 1c:93:7c,0,0,0,0,0,0,,360,="",="2/4/2026 4:55:05.061253570 PM",
="",81,,Mgmt,Beacon,2189,,ff:ff:ff:ff:ff:ff  (DA),0e:93:7c:55:95:15  (SA),0e:93:7c:55:95:15  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:05.063646070 PM",
="",82,,Mgmt,Beacon,1125,,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:17:c4:c0  (SA),6e:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,424,="",="2/4/2026 4:55:05.068318925 PM",
="",83,,Mgmt,Beacon,3115,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:17:c4:c0  (SA),56:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,397,="",="2/4/2026 4:55:05.069110235 PM",
="",84,,Mgmt,Beacon,3564,,ff:ff:ff:ff:ff:ff  (DA),Commscope 1c:93:7c,Commscope 1c:93:7c,0,0,0,0,0,0,,365,="",="2/4/2026 4:55:05.071885580 PM",
="",85,,Mgmt,Beacon,3962,,ff:ff:ff:ff:ff:ff  (DA),16:93:7c:c2:15:c7  (SA),16:93:7c:c2:15:c7  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:05.079008800 PM",
="",86,,Mgmt,Beacon,797,,ff:ff:ff:ff:ff:ff  (DA),Ubiquiti Inc 70:a7:41,Ubiquiti Inc 70:a7:41,0,0,0,0,0,0,,342,="",="2/4/2026 4:55:05.085088755 PM",
="",89,,Mgmt,Beacon,977,,ff:ff:ff:ff:ff:ff  (DA),0e:fe:7b:3f:cc:24  (SA),0e:fe:7b:3f:cc:24  (BSSID),0,0,0,0,0,0,,315,="",="2/4/2026 4:55:05.095991300 PM",
="",90,,Mgmt,Beacon,128,,ff:ff:ff:ff:ff:ff  (DA),Computer Performance Inc. DBA Digital Loggers Inc. 7c:e1:ff,Computer Performance Inc. DBA Digital Loggers Inc. 7c:e1:ff,0,0,0,0,0,0,,264,="",="2/4/2026 4:55:05.111204265 PM",
="",91,,Data,Data,2620,From AP,32:33:00:00:00:01  (DA),Commscope 5c:b0:66,59:a8:e8:64:60:5d  (SA),0,1,0,0,0,1,,209,="",="2/4/2026 4:55:05.125587415 PM",
="",92,,Ext,Reserved [13],,,,,,1,1,1,1,0,1,,99,="",="2/4/2026 4:55:05.135742120 PM",
="",96,,Mgmt,Probe Resp,1451,,Hui Zhou Gaoshengda Technology Co.LTD d0:76:02,Commscope 1c:93:7c,Commscope 1c:93:7c,0,0,0,0,0,0,,465,="",="2/4/2026 4:55:05.151873870 PM",
="",97,,Control,ACK,,,Commscope 1c:93:7c,,,0,0,0,0,0,0,,99,="",="2/4/2026 4:55:05.155106370 PM",
="",98,,Mgmt,Beacon,3071,,bf:ff:fd:4f:df:de  (DA),3a:ff:bf:77:dd:55  (SA),c3:f2:d5:bf:ff:f7  (BSSID),0,0,0,0,0,0,,113,="",="2/4/2026 4:55:05.157154010 PM",
="",99,,Mgmt,Beacon,3947,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:05.157598925 PM",
="",100,,Mgmt,Beacon,1452,,ff:ff:ff:ff:ff:ff  (DA),Commscope 1c:93:7c,Commscope 1c:93:7c,0,0,0,0,0,0,,360,="",="2/4/2026 4:55:05.160534310 PM",
="",101,,Mgmt,Beacon,2745,,ff:ff:ff:ff:ff:ff  (DA),Cisco Meraki 68:49:92,Cisco Meraki 68:49:92,0,0,0,0,0,0,,427,="",="2/4/2026 4:55:05.169946005 PM",
="",102,,Mgmt,Beacon,1126,,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:17:c4:c0  (SA),6e:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,424,="",="2/4/2026 4:55:05.170702865 PM",
="",103,,Mgmt,Beacon,3116,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:17:c4:c0  (SA),56:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,397,="",="2/4/2026 4:55:05.171516630 PM",
="",104,,Control,ACK,,,3a:1a:52:4f:79:cd  (DA),,,0,0,0,0,0,0,,99,="",="2/4/2026 4:55:05.173695475 PM",
="",105,,Mgmt,Beacon,3565,,ff:ff:ff:ff:ff:ff  (DA),Commscope 1c:93:7c,Commscope 1c:93:7c,0,0,0,0,0,0,,365,="",="2/4/2026 4:55:05.174285680 PM",
="",106,,Mgmt,Probe Req,324  (Retransmitted packet),,ab:d4:97:b0:eb:e6  (DA),13:30:9c:02:97:f8  (SA),9b:bc:32:0f:f1:1d  (BSSID),0,0,1,1,0,0,,340,="",="2/4/2026 4:55:05.187352495 PM",
="",107,,Mgmt,Beacon,2174,,ff:ff:ff:ff:ff:ff  (DA),Sagemcom Broadband SAS d8:cf:61,Sagemcom Broadband SAS d8:cf:61,0,0,0,0,0,0,,443,="",="2/4/2026 4:55:05.188652040 PM",
="",108,,Mgmt,Beacon,1807,,ff:ff:ff:ff:ff:ff  (DA),e2:cf:61:1d:9c:76  (SA),e2:cf:61:1d:9c:76  (BSSID),0,0,0,0,0,0,,348,="",="2/4/2026 4:55:05.192301440 PM",
="",112,,Mgmt,Beacon,1244,,ff:ff:ff:ff:ff:ff  (DA),46:d9:e7:7b:b2:e6  (SA),46:d9:e7:7b:b2:e6  (BSSID),0,0,0,0,0,0,,314,="",="2/4/2026 4:55:05.208228615 PM",
="",113,,Mgmt,Beacon,1122,,ff:ff:ff:ff:ff:ff  (DA),da:52:61:ed:5c:44  (SA),da:52:61:ed:5c:44  (BSSID),0,0,0,0,0,0,,333,="",="2/4/2026 4:55:05.210299605 PM",
="",117,,Data,Data,659,From AP,ff:ff:ff:ff:ff:ff  (DA),12:36:aa:19:11:c5  (BSSID),Vantiva - Connected Home 10:36:aa,0,1,0,0,0,1,,165,="",="2/4/2026 4:55:05.245005130 PM",
="",118,,Data,Data,762,From AP,01:00:5e:7f:ff:fa  (DA),72:a7:41:93:5f:71  (BSSID),Samsung Electronics Co.Ltd 80:8a:bd,0,1,0,0,0,1,,200,="",="2/4/2026 4:55:05.255358615 PM",
="",119,,Mgmt,Beacon,1277,,df:fe:ef:fb:ef:77  (DA),6f:ff:dd:bb:3b:5f  (SA),df:fe:de:fd:fe:f7  (BSSID),0,0,0,0,0,0,,113,="",="2/4/2026 4:55:05.259553950 PM",
="",120,,Mgmt,Beacon,3948,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:05.259999265 PM",
="",121,,Mgmt,Beacon,3130,,ff:ff:ff:ff:ff:ff  (DA),5f:b5:81:17:c4:c0  (SA),Cisco Meraki 68:49:92,0,0,0,0,0,0,,427,="",="2/4/2026 4:55:05.272314650 PM",
="",122,,Mgmt,Beacon,2139  (Retransmitted packet),,68:70:3c:fe:ff:98  (DA),3f:12:92:17:c4:48  (SA),6a:49:92:17:c8:f6  (BSSID),1,1,0,1,0,0,,424,="",="2/4/2026 4:55:05.273136020 PM",
="",123,,Mgmt,Beacon,3117,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:17:c4:05  (SA),cc:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,397,="",="2/4/2026 4:55:05.273917650 PM",
="",124,,Mgmt,Beacon,3566,,ff:ff:ff:ff:ff:ff  (DA),Commscope 1c:93:7c,Commscope 1c:93:7c,0,0,0,0,0,0,,365,="",="2/4/2026 4:55:05.276691755 PM",
="",128,,Mgmt,Beacon,3102,,ff:ff:ff:ff:ff:ff  (DA),Commscope ec:a9:40,Commscope ec:a9:40,0,0,0,0,0,0,,343,="",="2/4/2026 4:55:05.287434715 PM",
="",129,,Mgmt,Beacon,99,,ff:ff:ff:ff:ff:ff  (DA),4e:2b:50:c8:ee:f3  (SA),4e:2b:50:c8:ee:f3  (BSSID),0,0,0,0,0,0,,340,="",="2/4/2026 4:55:05.289782330 PM",
="",130,,Mgmt,Beacon,2175,,ff:ff:ff:ff:ff:ff  (DA),Sagemcom Broadband SAS d8:cf:61,Sagemcom Broadband SAS d8:cf:61,0,0,0,0,0,0,,443,="",="2/4/2026 4:55:05.291052300 PM",
="",131,,Mgmt,Beacon,1808,,ff:ff:ff:ff:ff:ff  (DA),e2:cf:61:1d:9c:76  (SA),e2:cf:61:1d:9c:76  (BSSID),0,0,0,0,0,0,,348,="",="2/4/2026 4:55:05.294460635 PM",
="",135,,Mgmt,Beacon,808,,ff:ff:ff:ff:ff:ff  (DA),72:a7:41:b3:5f:71  (SA),72:a7:41:b3:5f:71  (BSSID),0,0,0,0,0,0,,342,="",="2/4/2026 4:55:05.302218670 PM",
="",136,,Mgmt,Beacon,1245,,ff:ff:ff:ff:ff:ff  (DA),46:d9:e7:7b:b2:e6  (SA),46:d9:e7:7b:b2:e6  (BSSID),0,0,0,0,0,0,,314,="",="2/4/2026 4:55:05.310629915 PM",
="",137,,Mgmt,Beacon,1123,,ff:ff:ff:ff:ff:ff  (DA),da:52:61:ed:5c:44  (SA),da:52:61:ed:5c:44  (BSSID),0,0,0,0,0,0,,333,="",="2/4/2026 4:55:05.318508225 PM",
="",138,,Mgmt,Beacon,2404,,ff:ff:ff:ff:ff:ff  (DA),ce:52:61:ed:5c:44  (SA),ce:52:61:ed:5c:44  (BSSID),0,0,0,0,0,0,,340,="",="2/4/2026 4:55:05.319146245 PM",
="",139,,Mgmt,Beacon,3580,,ff:ff:ff:ff:ff:ff  (DA),56:d9:e7:7b:b2:e6  (SA),56:d9:e7:7b:b2:e6  (BSSID),0,0,0,0,0,0,,309,="",="2/4/2026 4:55:05.336230415 PM",
="",140,,Data,Data,763,From AP,01:00:5e:00:00:07  (DA),72:a7:41:93:5f:71  (BSSID),Samsung Electronics Co.Ltd 80:8a:bd,0,1,0,0,0,1,,229,="",="2/4/2026 4:55:05.353364745 PM",
="",141,,Data,QoS Null (no data),1626,From AP,Commscope c8:52:61,Commscope c8:52:61,Commscope c8:52:61,0,1,0,0,0,0,,123,="",="2/4/2026 4:55:05.360659630 PM",
="",142,,Mgmt,Beacon,3949,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:05.365100155 PM",
="",143,,Mgmt,Beacon,3441,,ff:ff:ff:ff:ff:ff  (DA),WatchGuard Technologies Inc. 00:01:21,WatchGuard Technologies Inc. 00:01:21,0,0,0,0,0,0,,369,="",="2/4/2026 4:55:05.369560055 PM",
="",144,,Mgmt,Beacon,2192,,ff:ff:ff:ff:ff:ff  (DA),0e:93:7c:55:95:15  (SA),0e:93:7c:55:95:15  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:05.375316450 PM",
="",145,,Mgmt,Beacon,2183,,ff:ff:ff:ff:ff:ff  (DA),16:93:7c:55:95:15  (SA),16:93:7c:55:95:15  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:05.377413840 PM",
="",146,,Mgmt,Beacon,791,,ff:ff:ff:ff:ff:ff  (DA),5a:2b:50:c8:ee:f3  (SA),5a:2b:50:c8:ee:f3  (BSSID),0,0,0,0,0,0,,340,="",="2/4/2026 4:55:05.385178305 PM",
="",147,,Mgmt,Beacon,3934,,ff:ff:ff:ff:ff:ff  (DA),Ubiquiti Inc 44:d9:e7,Ubiquiti Inc 44:d9:e7,0,0,0,0,0,0,,315,="",="2/4/2026 4:55:05.387467795 PM",
="",148,,Mgmt,Beacon,3103,,ff:ff:ff:ff:ff:ff  (DA),Commscope ec:a9:40,Commscope ec:a9:40,0,0,0,0,0,0,,343,="",="2/4/2026 4:55:05.389674260 PM",
="",149,,Mgmt,Beacon,100,,ff:ff:ff:ff:ff:ff  (DA),4e:2b:50:c8:ee:f3  (SA),4e:2b:50:c8:ee:f3  (BSSID),0,0,0,0,0,0,,340,="",="2/4/2026 4:55:05.392188375 PM",
="",150,,Mgmt,Beacon,2176,,ff:ff:ff:ff:ff:ff  (DA),Sagemcom Broadband SAS d8:cf:61,Sagemcom Broadband SAS d8:cf:61,0,0,0,0,0,0,,443,="",="2/4/2026 4:55:05.393452385 PM",
="",151,,Mgmt,Beacon,1809,,ff:ff:ff:ff:ff:ff  (DA),e2:cf:61:1d:9c:76  (SA),e2:cf:61:1d:9c:76  (BSSID),0,0,0,0,0,0,,348,="",="2/4/2026 4:55:05.397102105 PM",
="",152,,Mgmt,Beacon,990,,ff:ff:ff:ff:ff:ff  (DA),0e:fe:7b:3f:cc:27  (SA),0e:fe:7b:3f:cc:27  (BSSID),0,0,0,0,0,0,,341,="",="2/4/2026 4:55:05.403298060 PM",
="",153,,Mgmt,Beacon,812,,ff:ff:ff:ff:ff:ff  (DA),72:a7:41:b3:5f:71  (SA),72:a7:41:b3:5f:71  (BSSID),0,0,0,0,0,0,,342,="",="2/4/2026 4:55:05.404629610 PM",
="",157,,Mgmt,Beacon,2214,,ff:ff:ff:ff:ff:ff  (DA),NETGEAR e0:46:ee,NETGEAR e0:46:ee,0,0,0,0,0,0,,398,="",="2/4/2026 4:55:05.416488270 PM",
="",161,,Mgmt,Beacon,2405,,ff:ff:ff:ff:ff:ff  (DA),ce:52:61:ed:5c:44  (SA),ce:52:61:ed:5c:44  (BSSID),0,0,0,0,0,0,,340,="",="2/4/2026 4:55:05.421540810 PM",
="",162,,Control,ACK,,,7e:3f:ff:db:25:43  (DA),,,0,0,0,0,0,0,,99,="",="2/4/2026 4:55:05.434708000 PM",
="",163,,Control,CTS,,,7e:3f:ff:c3:fc:0b  (DA),,,0,0,0,0,0,0,,99,="",="2/4/2026 4:55:05.435199355 PM",
="",164,,Control,ACK,,,7e:3f:ff:c3:fc:0b  (DA),,,0,0,0,0,0,0,,99,="",="2/4/2026 4:55:05.435311840 PM",
="",165,,Mgmt,Beacon,3950,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:05.464900760 PM",
="",166,,Mgmt,Beacon,1458,,ff:ff:ff:ff:ff:ff  (DA),Commscope 1c:93:7c,Commscope 1c:93:7c,0,0,0,0,0,0,,360,="",="2/4/2026 4:55:05.468129160 PM",
="",167,,Mgmt,Beacon,2184,,ff:ff:ff:ff:ff:ff  (DA),16:93:7c:55:95:15  (SA),16:93:7c:55:95:15  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:05.472772080 PM",
="",168,,Mgmt,Beacon,2748,,ff:ff:ff:ff:ff:ff  (DA),68:c9:da:17:06:9d  (SA),69:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,427,="",="2/4/2026 4:55:05.477152130 PM",
="",169,,Mgmt,Beacon,1129,,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:17:c4:c0  (SA),6e:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,424,="",="2/4/2026 4:55:05.477889015 PM",
="",170,,Mgmt,Beacon,3119,,ff:4e:cf:fe:91:92  (DA),57:49:8b:82:c4:c0  (SA),56:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,397,="",="2/4/2026 4:55:05.478651445 PM",
="",171,,Data,Data,1460,From AP,33:33:00:00:00:fb  (DA),Commscope 1c:93:7c,Hui Zhou Gaoshengda Technology Co.LTD 1c:30:08,0,1,0,0,0,1,,229,="",="2/4/2026 4:55:05.479071305 PM",
="",172,,Mgmt,Beacon,3990,,ff:ff:ff:ff:ff:ff  (DA),0e:93:7c:c2:15:c7  (SA),0e:93:7c:c2:15:c7  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:05.485348275 PM",
="",173,,Mgmt,Beacon,3966,,ff:ff:ff:ff:ff:ff  (DA),16:93:7c:c2:15:c7  (SA),16:93:7c:c2:15:c7  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:05.487808255 PM",
