Bookmark,Frame#,SSI,Type,Subtype,Seq #,Addresses,Receive Addr,Transmit Addr,Address 3,ToDS,FromDS,Frag,Retry,More,Protected,FCS,Frame Size,Delta,Timestamp,
="",4,,Mgmt,Beacon,1238,,ff:ff:ff:ff:ff:ff  (DA),46:d9:e7:7b:b2:e6  (SA),46:d9:e7:7b:b2:e6  (BSSID),0,0,0,0,0,0,,314,="",="2/4/2026 4:55:04.593795900 PM",
="",8,,Mgmt,Beacon,3896,,ff:ff:ff:ff:ff:ff  (DA),NETGEAR 00:24:b2,NETGEAR 00:24:b2,0,0,0,0,0,0,,382,="",="2/4/2026 4:55:04.601818775 PM",
="",9,,Mgmt,Probe Req,2571,,ff:ff:ff:ff:ff:ff  (DA),CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD. ac:50:de,ff:ff:ff:ff:ff:ff  (BSSID),0,0,0,0,0,0,,205,="",="2/4/2026 4:55:04.626921775 PM",
="",10,,Mgmt,Probe Req,2572,,ff:ff:ff:ff:ff:ff  (DA),CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD. ac:50:de,ff:ff:ff:ff:ff:ff  (BSSID),0,0,0,0,0,0,,205,="",="2/4/2026 4:55:04.647157095 PM",
="",11,,Mgmt,Beacon,3942,,ff:ff:ff:ff:ff:ff  (DA),WNC Corporation 58:96:71,WNC Corporation 58:96:71,0,0,0,0,0,0,,404,="",="2/4/2026 4:55:04.648309595 PM",
="",12,,Mgmt,Beacon,2176,,ff:ff:ff:ff:ff:ff  (DA),16:93:7c:55:95:15  (SA),16:93:7c:55:95:15  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 4:55:04.653563115 PM",
="",13,,Mgmt,Beacon,2740,,ff:ff:ff:ff:ff:ff  (DA),68:db:51:17:c4:c0  (SA),68:49:33:2e:c5:c0  (BSSID),0,0,0,0,0,0,,427,="",="2/4/2026 4:55:04.657912630 PM",
="",14,,Mgmt,Beacon,2326,,ff:ff:ff:ff:ff:ff  (DA),56:2b:50:c8:ee:f3  (SA),56:2b:50:c8:ee:f3  (BSSID),0,0,0,0,0,0,,364,="",="2/4/2026 4:55:04.659000955 PM",
="",15,,Mgmt,Beacon,3111,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:17:c4:c0  (SA),56:49:92:17:c4:c0  (BSSID),0,0,0,0,0,0,,397,="",="2/4/2026 4:55:04.659459920 PM",
="",16,,Control,Blk Ack Req,,,fe:fb:ef:ad:d8:9f  (DA),91:9d:fb:59:48:ff  (SA),,1,1,1,0,1,1,,105,="",="2/4/2026 4:55:04.662148670 PM",
