Bookmark,Frame#,SSI,Type,Subtype,Seq #,Addresses,Receive Addr,Transmit Addr,Address 3,ToDS,FromDS,Frag,Retry,More,Protected,FCS,Frame Size,Delta,Timestamp,
="",7,,Mgmt,Beacon,1266,,ff:ff:ff:ff:ff:ff  (DA),62:d4:f7:c2:22:40  (SA),62:d4:f7:c2:22:40  (BSSID),0,0,0,0,0,0,,331,="",="2/4/2026 6:48:06.806273860 AM",
="",12,,Mgmt,Beacon,1267,,ff:ff:ff:ff:ff:ff  (DA),62:d4:f7:c2:22:40  (SA),62:d4:f7:c2:22:40  (BSSID),0,0,0,0,0,0,,331,="",="2/4/2026 6:48:06.908602740 AM",
="",13,,Mgmt,Beacon,3139,,ff:ff:ff:ff:ff:ff  (DA),c6:4f:d5:f7:5d:99  (SA),c6:4f:d5:f7:5d:99  (BSSID),0,0,0,0,0,0,,459,="",="2/4/2026 6:48:06.933972440 AM",
="",14,,Mgmt,Beacon,3193,,ff:ff:ff:ff:ff:ff  (DA),eero inc. 30:34:22,eero inc. 30:34:22,0,0,0,0,0,0,,313,="",="2/4/2026 6:48:06.951971530 AM",
="",17,,Mgmt,Beacon,1406,,ff:ff:ff:ff:ff:ff  (DA),b6:70:5d:03:a0:0f  (SA),b6:70:5d:03:a0:0f  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 6:48:06.962119030 AM",
="",22,,Mgmt,Beacon,1422,,ff:ff:ff:ff:ff:ff  (DA),ae:70:5d:03:a0:0f  (SA),ae:70:5d:03:a0:0f  (BSSID),0,0,0,0,0,0,,323,="",="2/4/2026 6:48:07.050982685 AM",
="",26,,Mgmt,Beacon,1269,,ff:ff:ff:ff:ff:ff  (DA),62:d4:f7:c2:22:40  (SA),62:d4:f7:c2:22:40  (BSSID),0,0,0,0,0,0,,331,="",="2/4/2026 6:48:07.113303720 AM",
="",30,,Control,CTS,,,Vizio Inc 3c:9b:d6,,,0,0,0,0,0,0,,99,="",="2/4/2026 6:48:07.169358455 AM",
="",31,,Control,CTS,,,Vizio Inc 3c:9b:d6,,,0,0,0,0,0,0,,99,="",="2/4/2026 6:48:07.169393620 AM",
="",32,,Control,CTS,,,Vizio Inc 3c:9b:d6,,,0,0,0,0,0,0,,99,="",="2/4/2026 6:48:07.169620455 AM",
="",33,,Mgmt,Beacon,1904,,02:02:08:16:c6:35  (DA),49:07:c6:06:70:20  (SA),a0:2c:d2:40:16:20  (BSSID),0,0,0,0,0,0,,113,="",="2/4/2026 6:48:07.169494950 AM",
="",34,,Control,Blk Ack,,,Vizio Inc 3c:9b:d6,Commscope a8:70:5d,,0,0,0,0,0,0,,117,="",="2/4/2026 6:48:07.170373320 AM",
="",35,,Data,QoS Data,1529,From AP,Vizio Inc 3c:9b:d6,Commscope a8:70:5d,Commscope a8:70:5d,0,1,0,0,0,1,,222,="",="2/4/2026 6:48:07.184180150 AM",
="",36,,Control,CF End,,,ff:ff:ff:ff:ff:ff  (DA),,Commscope a8:70:5d,0,0,0,0,0,0,,105,="",="2/4/2026 6:48:07.184332425 AM",
="",37,,Mgmt,Probe Resp,2681  (Retransmitted packet),,AMPAK Technology Inc. 28:ed:e0,Commscope a8:70:5d,Commscope a8:70:5d,0,0,0,1,0,0,,469,="",="2/4/2026 6:48:07.237278885 AM",
="",41,,Control,ACK,,,Google Inc. 3c:28:6d,,,0,0,0,0,0,0,,99,="",="2/4/2026 6:48:07.249518700 AM",
="",45,,Mgmt,Beacon,3100,,e4:ae:02:ff:ff:03  (DA),2d:34:a0:b8:0c:e9  (SA),30:b4:6a:35:5c:e9  (BSSID),0,1,0,0,1,0,,392,="",="2/4/2026 6:48:07.302194445 AM",
="",46,,Mgmt,Beacon,1271,,ff:ff:ff:ff:ff:ff  (DA),62:d4:f7:c2:22:40  (SA),62:d4:f7:c2:22:40  (BSSID),0,0,0,0,0,0,,331,="",="2/4/2026 6:48:07.317966740 AM",
